experiment,step,loss,loss_ma25
GT LoRA,3650,0.01098800,0.03028288
GT LoRA,3660,0.01746700,0.03003296
GT LoRA,3670,0.00378100,0.02845440
GT LoRA,3680,0.00017800,0.02785384
GT LoRA,3690,0.02660200,0.02455824
GT LoRA,3700,0.02230100,0.02461456
GT LoRA,3710,0.00059300,0.02321372
GT LoRA,3720,0.02130500,0.02397772
GT LoRA,3730,0.00424800,0.02257116
GT LoRA,3740,0.00832600,0.02289312
GT LoRA,3750,0.00716400,0.02193268
GT LoRA,3760,0.03844700,0.02252240
GT LoRA,3770,0.05683200,0.02412804
GT LoRA,3780,0.02417100,0.02483212
GT LoRA,3790,0.01255900,0.02518488
GT LoRA,3800,0.00439900,0.02294284
GT LoRA,3810,0.01151900,0.02215068
GT LoRA,3820,0.03176200,0.02229436
GT LoRA,3830,0.05324500,0.02315892
GT LoRA,3840,0.08317000,0.02544876
GT LoRA,3850,0.02565700,0.02633136
GT LoRA,3860,0.00065800,0.02198564
GT LoRA,3870,0.04117700,0.02346824
GT LoRA,3880,0.01869600,0.02184156
GT LoRA,3890,0.01092500,0.02144680
GT LoRA,3900,0.01725100,0.02169732
GT LoRA,3910,0.01202400,0.02147960
GT LoRA,3920,0.01567400,0.02195532
GT LoRA,3930,0.02228100,0.02283944
GT LoRA,3940,0.00542100,0.02199220
GT LoRA,3950,0.00572700,0.02132924
GT LoRA,3960,0.03244200,0.02260320
GT LoRA,3970,0.00091800,0.02178772
GT LoRA,3980,0.00120000,0.02166580
GT LoRA,3990,0.01830400,0.02206492
GT LoRA,4000,0.01119200,0.02222604
GT LoRA,4010,0.04682800,0.02256128
GT LoRA,4020,0.01704800,0.02096992
GT LoRA,4030,0.02357100,0.02094592
GT LoRA,4040,0.00528700,0.02065504
GT LoRA,4050,0.00090700,0.02051536
GT LoRA,4060,0.02026700,0.02086528
GT LoRA,4070,0.02017800,0.02040192
GT LoRA,4080,0.02789600,0.01938796
GT LoRA,4090,0.01920200,0.01682924
GT LoRA,4100,0.09458600,0.01958640
GT LoRA,4110,0.03042400,0.02077704
GT LoRA,4120,0.04639400,0.02098572
GT LoRA,4130,0.00369200,0.02038556
GT LoRA,4140,0.03048700,0.02116804
GT LoRA,4150,0.00941600,0.02085464
GT LoRA,4160,0.02703400,0.02145504
GT LoRA,4170,0.00221600,0.02091672
GT LoRA,4180,0.00796300,0.02034400
GT LoRA,4190,0.00885800,0.02048148
GT LoRA,4200,0.00992800,0.02064952
GT LoRA,4210,0.07585500,0.02238604
GT LoRA,4220,0.00917800,0.02271644
GT LoRA,4230,0.01196800,0.02314716
GT LoRA,4240,0.01544700,0.02303288
GT LoRA,4250,0.00688000,0.02286040
GT LoRA,4260,0.00021500,0.02099588
GT LoRA,4270,0.01062600,0.02073900
GT LoRA,4280,0.03666600,0.02126280
GT LoRA,4290,0.02628800,0.02210284
GT LoRA,4300,0.02311300,0.02299108
GT LoRA,4310,0.04575900,0.02401076
GT LoRA,4320,0.04056200,0.02482612
GT LoRA,4330,0.02713500,0.02479568
GT LoRA,4340,0.02794400,0.02514536
GT LoRA,4350,0.00971800,0.02175064
GT LoRA,4360,0.00558100,0.02075692
GT LoRA,4370,0.00000000,0.01890116
GT LoRA,4380,0.00655300,0.01901560
GT LoRA,4390,0.04849800,0.01973604
GT LoRA,4400,0.00784100,0.01967304
GT LoRA,4410,0.04983600,0.02058512
GT LoRA,4420,0.01160300,0.02096060
GT LoRA,4430,0.03775500,0.02215228
GT LoRA,4440,0.00544800,0.02201588
GT LoRA,4450,0.03726000,0.02310916
GT LoRA,4460,0.00368500,0.02022236
GT LoRA,4470,0.00823500,0.02018464
GT LoRA,4480,0.05816500,0.02203252
GT LoRA,4490,0.01012400,0.02181960
GT LoRA,4500,0.00235100,0.02163844
GT LoRA,4510,0.02342400,0.02256680
GT LoRA,4520,0.02349200,0.02308144
GT LoRA,4530,0.00833900,0.02194836
GT LoRA,4540,0.02565800,0.02192316
GT LoRA,4550,0.03360200,0.02234272
GT LoRA,4560,0.02142800,0.02136948
GT LoRA,4570,0.07029700,0.02255888
GT LoRA,4580,0.06120100,0.02392152
GT LoRA,4590,0.00392900,0.02296092
GT LoRA,4600,0.00352500,0.02271320
GT LoRA,4610,0.02376800,0.02344068
GT LoRA,4620,0.01086300,0.02387520
GT LoRA,4630,0.07816700,0.02673976
GT LoRA,4640,0.05831500,0.02713244
GT LoRA,4650,0.07683100,0.02989204
GT LoRA,4660,0.01689600,0.02857444
GT LoRA,4670,0.02970400,0.02929848
GT LoRA,4680,0.02482900,0.02878144
GT LoRA,4690,0.00973900,0.02895308
